sample_id,label,vm_pu_bus0,va_deg_bus0,p_mw_bus0,q_mvar_bus0,vm_pu_bus1,va_deg_bus1,p_mw_bus1,q_mvar_bus1,vm_pu_bus2,va_deg_bus2,p_mw_bus2,q_mvar_bus2,vm_pu_bus3,va_deg_bus3,p_mw_bus3,q_mvar_bus3,vm_pu_bus4,va_deg_bus4,p_mw_bus4,q_mvar_bus4,vm_pu_bus5,va_deg_bus5,p_mw_bus5,q_mvar_bus5,vm_pu_bus6,va_deg_bus6,p_mw_bus6,q_mvar_bus6,vm_pu_bus7,va_deg_bus7,p_mw_bus7,q_mvar_bus7,vm_pu_bus8,va_deg_bus8,p_mw_bus8,q_mvar_bus8,vm_pu_bus9,va_deg_bus9,p_mw_bus9,q_mvar_bus9,vm_pu_bus10,va_deg_bus10,p_mw_bus10,q_mvar_bus10,vm_pu_bus11,va_deg_bus11,p_mw_bus11,q_mvar_bus11,vm_pu_bus12,va_deg_bus12,p_mw_bus12,q_mvar_bus12,vm_pu_bus13,va_deg_bus13,p_mw_bus13,q_mvar_bus13
101500,1,1.06,0.0,-221.68354915897694,14.442624150944939,1.045,-4.70975672005467,-18.361737632528172,-28.473266913812722,1.0216009713630252,-11.69584047684503,80.70769948932897,-0.9790270088658511,1.0175669503906988,-9.973282644593098,53.47229754857558,-4.3628025196536555,1.0196346738059716,-8.473405414612376,7.927071912424992,1.6688572447210497,1.0700000000000003,-13.732959664370037,10.895770035180021,-4.425325264403821,1.052240574887635,-12.932915588736988,0.0,0.0,1.09,-12.932915588736986,0.0,-17.469075869860106,1.056457625601429,-14.465785005567248,29.3808866977422,-4.672978047525898,1.051431650424832,-14.62186703049241,8.900362929261803,5.735789443302053,1.0569731538306184,-14.316192310090747,3.678474964501902,1.891787124600988,1.0563051901191336,-14.53001358753111,5.421529787503459,1.422040600000905,1.051223090795671,-14.627644205160536,13.480168773766252,5.791479917618091,1.03824892641586,-15.422607099777961,13.243620020402801,4.444167792081473
2944,0,1.06,0.0,-222.9264687986449,14.475293175328757,1.045,-4.73137140811088,-18.499403130605977,-28.897217829216828,1.01,-11.709351176859103,81.15490129457152,-0.9811681621613956,1.01733133093159,-10.022356388350094,52.050773935509824,-4.246820467541596,1.0192556004057427,-8.54358813757712,8.071279487912022,1.69921673429727,1.07,-14.037978101543532,11.54166164636692,-5.893134893764486,1.061761103952263,-13.060539226511452,0.0,0.0,1.09,-13.06053922651145,0.0,-17.473969169476888,1.0566265080198498,-14.633448134843755,28.27043236339512,-5.304624268762389,1.0514377263694132,-14.820149967781052,9.080893239706144,5.852131198921725,1.0568980157555472,-14.57142235694692,3.796738256684876,1.9526082462950785,1.055275197806916,-14.885314725609208,5.748008009879754,1.5076742320996104,1.0496921935674774,-14.986536339439857,14.59936371448319,6.272319225481667,1.0356373402408312,-15.786980253415946,14.895271509613709,4.998413258259632
2024,0,1.06,0.0,-235.7425411926343,17.762927876232535,1.045,-5.082171541833263,-18.448382590264604,-30.52237841056178,1.01,-13.248506885678715,101.84688694425172,-8.468442161493158,1.019026036574204,-10.414101325886223,50.28489419814021,-4.10274241365579,1.020558396131684,-8.820012404886837,8.69914831712444,1.8313996457104125,1.0699999999999998,-13.824979223700696,9.753670625342778,-2.546303372323408,1.0639240318715233,-13.119851922527154,0.0,0.0,1.09,-13.119851922527156,0.0,-16.13556926485348,1.0601261300315017,-14.518456484236214,25.73264412425661,-6.873416668659207,1.055202944276143,-14.654310364921075,7.851635009897109,5.059942561933696,1.058905674800617,-14.38133022162927,3.706706307828142,1.9063061011687596,1.0557791670539125,-14.652912525270462,6.322253864739935,1.6582960956694848,1.0523029645545905,-14.70364595701868,12.34282682706558,5.30284411829485,1.040194733614107,-15.516610749555248,13.762072180383171,4.618145026974219
263,0,1.06,0.0,-222.67432463582804,15.533346467498548,1.0449999999999997,-4.770430828120252,-20.09501298224273,-27.141804452270712,1.01,-12.563422943211112,97.76179346048784,-6.340327243323365,1.0198195844416484,-9.853970053604076,43.14148845153065,-3.519912237677186,1.0212102968584744,-8.378672640953143,7.984018263784037,1.6808459502703208,1.07,-13.469941365417688,9.561376410863405,-3.273539848697851,1.064171518810069,-12.633466798092666,0.0,0.0,1.0900000000000003,-12.633466798092662,0.0,-15.982426623346528,1.0602836959483628,-14.071074494061746,25.359705270469505,-7.08962176843216,1.054950998738838,-14.238419366717558,8.496701773314072,5.475652253913509,1.0589121587908803,-13.98994275783842,3.572274221034462,1.837169599389142,1.0559546998090157,-14.292866300838885,5.467414355094036,1.4340758964181075,1.0504709102879215,-14.40524630984248,14.762182179479623,6.342270862294939,1.0391343246288434,-15.154516262318982,14.045172986409312,4.713145297452783
4350,0,1.06,0.0,-251.4415676125536,19.55451206048487,1.0450000000000002,-5.43697622764912,-17.416463182951365,-36.15020175187441,1.01,-13.908353712306178,103.48239090630392,-10.806501350288816,1.0161450792091076,-11.105529601242424,52.060809686914766,-4.247639284078819,1.018284284045481,-9.415265624987018,7.0508205815326335,1.4843832803226604,1.0700000000000005,-15.040969902895029,11.438620271168505,-6.3999229921853775,1.0597810196997002,-14.275381989648206,0.0,0.0,1.09,-14.275381989648208,0.0,-18.699227094707325,1.053109025753252,-15.919970413697936,31.58546519177929,-3.298217776114747,1.0485747759308064,-16.051352325450967,8.98900294234403,5.792913007288369,1.0555251867158044,-15.681720879135144,3.6160755819987,1.8596960135993257,1.0556282123147651,-15.880304591739035,5.5075643203661,1.4446070348501223,1.0498184609345365,-15.998967089502449,13.250535430028949,5.692822629197636,1.0319447995507978,-17.05181147796888,16.266791237499433,5.458654777684373
3424,0,1.06,0.0,-217.1524759607427,14.229406949340856,1.045,-4.630291070486694,-19.657455827666272,-26.55546605327407,1.01,-12.019950707983384,91.30943247591156,-4.018926382893,1.0192634603822142,-9.63681230091724,40.8837959417625,-3.3357072002693258,1.020837588496012,-8.21938433168789,7.448389242645504,1.5680819458201043,1.07,-13.487322692252546,10.997216722768655,-3.907978044545669,1.062879193567048,-12.6000809611227,0.0,0.0,1.09,-12.6000809611227,0.0,-16.782105598590924,1.0579372987033069,-14.13524090568536,27.02554227304273,-6.057801952697243,1.0523662314358884,-14.317656843200208,9.55934092198018,6.160464149720568,1.0578740611533115,-14.023994250603746,3.227835446440679,1.660029658169492,1.0561941703965243,-14.29426958438113,5.306461072971871,1.3918586420909875,1.0506376197318077,-14.407791742071634,13.549017829200722,5.821059511804762,1.0359728207478014,-15.297457086832564,15.5665311504751,5.2236681713003605
101748,1,1.06,0.0,-234.639439451549,16.951821700212204,1.0450000000000002,-5.044684325318284,-15.048036640493926,-31.998892175095882,1.0100000000000002,-12.657915513116018,92.07864776834052,-5.314459393717993,1.0174845687372687,-10.356213770265464,48.41399602770912,-3.950095910210578,0.987183343487989,-8.818164331583969,7.966499626087245,1.6429964113808873,1.07,-14.293461001202418,10.063867006423607,-5.969035001791056,1.0612841639970756,-13.42291712293546,0.0,0.0,1.0900000000000005,-13.422917122935456,0.0,-17.769095227469876,1.055541048397102,-15.012453751484957,30.046738393807544,-4.261515011251596,1.044045746539718,-15.17816906057844,9.3554990840495,5.3746281039095365,1.022117336258454,-14.88198217633108,4.22518099740802,2.0170042343791144,1.0858185056394472,-15.199693934038729,6.286639999786478,1.8333644453778888,1.0497149954368037,-15.260213219419008,14.410871018398154,6.19133717827475,1.0361894768618765,-16.05674659362865,13.94955991683014,4.681060374775214
101215,1,1.06,0.0,-244.71946530728857,18.531723489932276,1.0449999999999997,-5.273783877689527,-20.910556890457404,-33.76938826132179,1.01,-13.798068779188394,105.43326654485936,-11.23851173292244,1.0168506142334157,-10.843789001617282,48.89744538210816,-3.9895405228079888,0.993105305387821,-9.199942563578645,7.554958988689779,1.592057802090508,1.0699999999999998,-14.62203491470649,10.7440880722325,-5.279396912645524,1.0602817270051395,-13.924075373758011,0.0,0.0,1.1240881596111578,-13.924075373758011,0.0,-18.00298486024924,1.053736480254431,-15.522385596825952,31.888264677377805,-3.152945957256808,1.0485065200739185,-15.672932350337826,9.867603591976717,6.359122314829428,1.055544058343856,-15.280538393529016,3.5434991651597443,1.822370999225008,1.0549633022818943,-15.481125193712387,6.069999831652999,1.7707343701157665,1.08023597922492,-15.520402074843407,12.969542075162659,4.800068204458784,1.0372291982940425,-16.387709580085236,12.919212581104887,4.335306235270096
101362,1,1.06,0.0,-254.68103433211917,20.334530288215667,1.0450000000000002,-5.522698090563184,-16.915885933980668,-36.515465473100235,1.01,-14.241975220852943,108.02329017747397,-12.345443427913285,1.0384837435263787,-11.179867515660163,46.68871527546675,-4.36298484994598,0.9785157430267453,-9.495045468656825,6.219011729216161,1.2685851807986848,1.0700000000000005,-15.277386401587318,12.762151010300727,-7.04999351642622,1.0611838730830145,-14.284957457760685,0.0,0.0,1.0900000000000003,-14.284957457760683,0.0,-17.83115432274454,1.055707692044877,-15.893082790339,27.73778970320359,-5.567472531398813,1.082100939249843,-16.094767828006866,10.124074774221496,6.199779939943119,1.0563188704880893,-15.824824643061197,3.714875700224212,1.9105075029724574,1.0552327129903412,-16.131963803063716,5.409947786035559,1.4190026979765378,1.0486827941532124,-16.264411907874297,15.050669105537764,6.466213393490293,0.9990486172866486,-17.17172986751658,17.423147904354696,5.686966108639519
100589,1,1.06,0.0,-231.9778667123618,16.70756605025936,1.0449999999999997,-4.98546252105056,-15.481792988479889,-30.811132304509435,1.01,-12.607143410062188,93.061714883132,-5.2608919878847615,1.018286764529861,-10.223346656373403,46.65387535343109,-3.8064877380414472,1.0199038558073854,-8.714398268516028,7.763312532417643,1.6343815857721324,1.0700000000000003,-14.161357328883923,11.693827231051955,-4.919336734115795,1.0626247116734469,-13.201469216289812,0.0,0.0,1.0900000000000003,-13.201469216289807,0.0,-16.93957665395591,1.0403137637904596,-14.74285834230825,26.36649063946354,-6.022327610689695,1.0525143693998116,-14.931472123900111,9.293378674255592,5.98906625674249,1.0578562094217023,-14.672150533725707,3.3501899667568296,1.7229548400463628,1.0237980028572744,-15.039625237770261,6.681471193369875,1.7689000348184496,1.0504666577026804,-15.095853018824847,13.037978309687418,5.601501792310145,1.0349531386492885,-15.99180084634107,16.32316662486815,5.47757269290878
